# locus	allele	hash-type
aroC	6viANR2czXsvpnQYKQ7doA	md5
aroC	3PC/4A4zVOPkRSb1HLaGzg	md5
aroC	lBepOgPBOs1rfKBVnOUbww	md5
aroC	Bi64R+1m6PaRreVWFXTVNA	md5
aroC	HJO+EwouQ7uZ+sD4GRE5rA	md5
aroC	lvacwIWmdy/k0hrhDHnMGA	md5
aroC	f5ld/kRP9vdUHth6IFCvMw	md5
aroC	Tslc44Xdw7vhNQqJnJGOgw	md5
aroC	jQO86rALi0uksUEXiYtvLA	md5
aroC	pvOKPbI9sgEBL8jJUo4ijw	md5
aroC	LGpEQMKBs3QSGq6ax6KzlQ	md5
aroC	X3QUgoEI+urkUzSAteP3Hg	md5
aroC	fBCoAxyVcWGv+bq6+CiUMw	md5
aroC	IxB5HG0Wjtcrpaf/YE9N+w	md5
aroC	Gv3vUxzBZvVkacMiuXkINw	md5
aroC	eewn9aXH1ZJFvUXh9DSx2Q	md5
aroC	4xV844yAjGrJpYUXsqJLCg	md5
aroC	P6DcUW2X2+JQg+6k+Ss4wg	md5
aroC	+drlFdc6iDSAPslfDLi51g	md5
aroC	tNUJFDAD1l9C2wreRqEP6A	md5
aroC	O7E17Emj+HKBgt1dlWSTTA	md5
aroC	4KD8D7Qe6lzS9dSxblRHHA	md5
aroC	eM/amx5CH39LxFC2Ohcb+A	md5
aroC	mPV8bRRmratEM00KXRZPdg	md5
aroC	I+2irzCv/SbVzALZp2FvCw	md5
aroC	yyT/oFIYCqpN23AYds5laQ	md5
aroC	sGv7/+l4xV9b+ZH1PnMAjw	md5
aroC	3NGkoU9njkv1JAvBFGVxeg	md5
aroC	8vI2IY+AT+5E04op6pZ0Fw	md5
aroC	eqYg1oWLCLAcdnFAkbXioA	md5
aroC	mx2eZXMaa/OsPfu8x01OKA	md5
aroC	2BWxspnUEteAFLnbywAL0Q	md5
aroC	U8DTtK8WvnASst+8JwGHsA	md5
aroC	xUI1y8SGyYpl7TtpFM21LQ	md5
aroC	2Ope0/2ALiwO3cCH1Yi5TA	md5
aroC	0LgUuIoVFK/6iu9/upWU+A	md5
aroC	U3H9PSGs0aQzyvVPYJdPUA	md5
aroC	HG824GLfcgRg5cBXHf+KCw	md5
aroC	7tuhll0M1vmC7WWn7flpsQ	md5
aroC	wgrRmf1O+QynmCqqbkZClQ	md5
aroC	mNNfe3bI+r7xaidiB1LHlw	md5
aroC	Tm9Msc5zqmvpZnaaHaY4vg	md5
aroC	EnLrNNk6psRTkeVjmtHYIw	md5
aroC	XDc28t3mI4zl+2rlAPrh5Q	md5
aroC	FvrgYzV6fwL5CFbNMDiiEg	md5
aroC	/XCQqplR54vS+rjRzL9vQg	md5
aroC	V7Wa+nw97pvXaE4CWDHSJQ	md5
aroC	zZNEtaQIxoQ42PWQu41Djg	md5
aroC	dwCzUBl807uSqr/Hthd/3g	md5
aroC	qukRM6QOJi7XixOZzCpJnA	md5
aroC	sVrq2N0qTFjuGB4DuXs0hw	md5
aroC	PigNqyTBP7yqRX8+IRvb0A	md5
aroC	ersDKz2Bs1oo1yqmFyZ1Sg	md5
aroC	mz471IsmGoKJu3muc8lS8Q	md5
aroC	dQ9MPt5sX2tVikCNYJUM2A	md5
aroC	y+tmV2ir4yjy6LlEyEX+Qw	md5
aroC	wUlfFGFFM8NBtIqS/SzViw	md5
aroC	4KM8MinZFKsV/YrkhoZdiA	md5
aroC	XfDQnpFeFN/FOGTpLBicaw	md5
aroC	lxeDRINhTMufwTWE6BImRA	md5
aroC	IMmWWu+D5j+g4zAySq+CFw	md5
aroC	m5j79fjCw1l2vMZdoBiITA	md5
aroC	ePoAEhpBnsxsDOcg48OnBw	md5
aroC	5poDSvxuG0on1ROI4X99Ww	md5
aroC	gDbcTvakRevLCqWgrEaT8Q	md5
aroC	LobguiXc/t9JQjD25qkv8g	md5
aroC	64oGPn/ugsDKBSchXZ1pOQ	md5
aroC	iMoqWl1UtgWv+rqkd4eM/w	md5
aroC	Ch9o1FhAaLl59Aa5PlfX8g	md5
aroC	bO7iI5nzAbbIJj2ppoFsig	md5
aroC	4YoeuwTGXMRQNGdu7pFbTw	md5
aroC	YYTN+dOltwsNm59WPedviw	md5
aroC	7qZ+8X0ybkgRJKUxsq2AkQ	md5
aroC	J/jm7VgjdnRlXjj3ZqXl/g	md5
aroC	6nOO6vNSjW06tU3rCpMbUA	md5
aroC	CLoT/Bn+G35G3ohqRC6v3w	md5
aroC	28r+ycZP3/Dj9EJE1NLaVw	md5
aroC	6yta1UMReZYI33x9+lfS5w	md5
aroC	WuRArk+fjyEYiPogIBiBpQ	md5
aroC	HDaMethYW5QBFjcbEx97wA	md5
aroC	9cpeRxTHeIgjgkB/tCnsVA	md5
aroC	V5CEmhzEIWWdHkx7jLZCMg	md5
aroC	8UEadOvXAOWDrdjrUJhwIA	md5
aroC	bnHWw5AcUvYnQLPaszxZBA	md5
aroC	XWD7wVxExbIgCOjjeTt0cw	md5
aroC	ays2+5/6Bz9U33amyBWiZg	md5
aroC	xP7HF/oT/c+fR7fqF40U7Q	md5
aroC	2EFzxbL+RSWsPK6P+jTVAA	md5
aroC	i0O6C1spLFtcdjbK0NrbqQ	md5
aroC	kjcIVwCZXJxmprDs6zbu2g	md5
aroC	kXnzOynJAvVgyfXz2Kx2Hw	md5
aroC	QtXw/Daf9VKOsovIdEcKHg	md5
aroC	xnRjiVf06VXhrQy/QMbMXw	md5
aroC	4xOJFXc9Xs8gMRUUvHykLg	md5
aroC	ITqmE6HG80q5cKKnELNmIg	md5
aroC	wnxcK3jVyAgy0KR66JRASA	md5
aroC	wlBNd2QydD2WcmPhDS6/Jw	md5
aroC	lbRliqGtEhK1xvFNaIxapA	md5
aroC	Na7FM6U5LsPV3hStJSvlMQ	md5
aroC	M7gxfy+R0tDbZsEkGWkFHA	md5
aroC	SZ8O7DeqgBXdU7+UQGDn2Q	md5
aroC	/cFrAPUYtVbWIOI3qtROvw	md5
aroC	0jJGo8eS8Mq+hzuImLg2sw	md5
aroC	Yk+fvCW/X8UUhCsk5FMLdA	md5
aroC	we+hYzwOcz2ZI4Uk8+laDg	md5
aroC	wX+vRwefn9sMLUVDd0vpxA	md5
aroC	/gdqnSeRL5v0GLNBNxM45Q	md5
aroC	FEogZDiWphL091wMwYH0dw	md5
aroC	0aaYHyDeVgSaw3QLIageOQ	md5
aroC	tQjBhHdINcJKfYux9wD1LQ	md5
aroC	7hS9Z9EPkBveIIYGjb4XJw	md5
aroC	uGwIluCWyNlmyOAGqRBVCg	md5
aroC	G6kfO1Img8qBvzIyk0s1gQ	md5
aroC	ntz8q0TI0/aJpL+xfqc5CA	md5
aroC	KCzeA0OyI9Ha6Pbe8ixE8Q	md5
aroC	gaTNakRsp87ov3hbj4hc/w	md5
aroC	vBO3VHa14LsblwvRE3CYXw	md5
aroC	smH1mScdbvMWzT5QndC/4Q	md5
aroC	9pRTiO30mzYkJEw/dDK2fg	md5
aroC	NuHYnknvU2K98R+widzKRw	md5
aroC	FE7D3vBc99zilIW8f4MiFQ	md5
aroC	5AatF5b/AfQZvui9RQhrCw	md5
aroC	T//4FUGCp+QyQcKbBHGBnQ	md5
aroC	FyE3+LAT1GJWmB/i4ld3cQ	md5
aroC	zIuca0uFzgBbrXCp+MIWFA	md5
aroC	2oSsAHrX2hSHjbjvNYrgFA	md5
aroC	Z32Jo57dFy/pqvf9XJdstQ	md5
aroC	xcp62bOnBr8E5pxq7ESGrw	md5
aroC	PXLKVqICjxfBRfHiIA3XrQ	md5
aroC	hG0NA1cbMVOlpCJ4JJTUPw	md5
aroC	XbMpyibi639FpBoMPe32yw	md5
aroC	WQb34N4zWSn6+OLsJWMO4w	md5
aroC	9aDqWCzIURvYLrMAYKEYYQ	md5
aroC	ZZvZcyU9zFAzya7pGClCKQ	md5
aroC	b70KRdkU6XGDSxODn+MYiQ	md5
aroC	itbDCKKeIpa5L8Uk1DkVHw	md5
aroC	ZN2vvHkJ9X6mC+8YFSpBKw	md5
aroC	9azXiLc/jROzXCrxxyYQbQ	md5
aroC	XyD7mG0k0L8OK0jJvCzhlQ	md5
aroC	j+g08te0FZZ/9pQK8xqcWg	md5
aroC	ljWwO4msyA0x3ryibll0Ag	md5
aroC	MJZAOhh8iKcubyeOgzfoWg	md5
aroC	GOlekbCpbsbRHdu2p8TAUw	md5
aroC	HgBSQkTlTwbXIxs5dGWXMQ	md5
aroC	Z9b9xZoCiIAdBZEuPIYSuA	md5
aroC	EIi2AaHnYkTVH/zHhV4OCA	md5
aroC	EvOlfeBrQZGadl1HQqQkDw	md5
aroC	89r1mSnQyXP3ynFfN78hEg	md5
aroC	Oz60PzDpFMtI34cUwvl1mw	md5
aroC	V/BXyKiHRL4FqOnwrrTv6A	md5
aroC	lIBoBHLu5mTX1ITSaDK5Pw	md5
aroC	dEvs97+rvP043CCW6NRiFQ	md5
aroC	yf2K28a22Sz+mjTCTLMSAg	md5
aroC	xCp/o4JwKMUCRCMbYgMc+g	md5
aroC	VC1YHMhWtzcRDwMsNNaEjQ	md5
aroC	nqJypj+kQ2Et1Y7xczMJXQ	md5
aroC	ImUG/zNK4kCogBmJgyg19g	md5
aroC	cC9+wqMrgr1kuDjUdaCxhg	md5
aroC	B4T2tz0+KJfP2u5gWrgIxA	md5
aroC	0VTIWwaPYnZfT6Q+JOzLUg	md5
aroC	ajG0JRxJLG6oTorlyae04Q	md5
aroC	8eLpwH/XSzspUrmstbrW8Q	md5
aroC	hGnEpj5ud364vfq3JgoKSw	md5
aroC	y18O0fNLTiZSAsxOrfvdkg	md5
aroC	t5ANcdEfx6OL84m2JjBdtw	md5
aroC	5U8n6lKkCvSJFWzO6dSN5g	md5
aroC	Ciblpf0//NnMP4b3XbiorA	md5
aroC	zOOMb5oCl9pMLa97tZUBqA	md5
aroC	wPDqXftGTvZdCFTgfEMxJg	md5
aroC	IHIYEXPn8y5IKMo+Uo2d7Q	md5
aroC	9LWo5SPde+hsdozC71Q5+Q	md5
aroC	VHV6LKJEwv7jQJb/tDfomg	md5
aroC	929UDbV5wXxfuihoy932wg	md5
aroC	5gz6HuV4UqK6NHWsVyS+aA	md5
aroC	vBSK1ZcpmzQLBEz0MlqYKQ	md5
aroC	IfzIBQ7rUtyJbcn4Xx4Q1Q	md5
aroC	IEuUQ7NmDFXAyC9CuPNHqA	md5
aroC	MnI1B2rDhK23I7OoXQghWw	md5
aroC	+fvPt8ccuuDQJUnG4mWrvA	md5
aroC	rAHUYiKzchuN9P0R+i5bUA	md5
aroC	ZQrc0OGBzZ7GbfGUNTvNsQ	md5
aroC	Qqzh5clCpkqIVaMo2REnog	md5
aroC	aRyUb/Yr7td6WHjXm1zHpQ	md5
aroC	jYlr3UTFV5yA4hZByD6SIA	md5
aroC	ruVpZcnv32mxsMXYlrZ9LA	md5
aroC	rlUBO9KR5mbL3gVFSyWm/g	md5
aroC	EMnPvooW3b0WX2w3iobFTw	md5
aroC	Uhfm9yzrGCWZR/8876Ns4g	md5
aroC	KNtQBI1YI24wYkyCrV1LOQ	md5
aroC	DA/HSwX7NRwYwlGv75ufTA	md5
aroC	lEbzhxVVQOcK7VRg+iVr3g	md5
aroC	AgoWmcJ3AerWx5f2jKWNBA	md5
aroC	h7pybqlv1zCl3WpGerrBsA	md5
aroC	yx1gbSkbW7a4Gq3FahhJ+A	md5
aroC	wVo6Xn9WAHFtKsrMreabJQ	md5
aroC	JJmbDKF5a22tggsKh5m2Xg	md5
aroC	byFC6thfpKrkNKSzhPJMQQ	md5
aroC	7zyqwt+0xFMWNqEaYlTHXw	md5
aroC	CxVCj4ff4SATPACfcndn9Q	md5
aroC	LJ0dG2eswiEsFlLiwEzgOA	md5
aroC	gTlJOxowSxBVInZan0TxVg	md5
aroC	GxXSn4R5qeXTMI7pzzRbKA	md5
aroC	+fLsqXna4uw7rebjo1BTEg	md5
aroC	sKVNexi4laaYywz9WhUy6Q	md5
aroC	a50VUwOp2zYTtBDlpgxgQg	md5
aroC	H0dWSXbOHmo6oc3cubgj4w	md5
aroC	UA3uWjOZdgboScUROFtepQ	md5
aroC	TTgI4vxq2G1aWxDnsMCIBQ	md5
aroC	5gyWwg4ihw0vJLSIGskO4Q	md5
aroC	vxFsHtD8BAoKGHb1xmw5FA	md5
aroC	sXQ/AYrW72yh/X+5vAnfMA	md5
aroC	7+zeIT4jOULkHymrsAQy5A	md5
aroC	4g9cTxMwW+nCII9L5wCkQA	md5
aroC	mQYXlaZHVs4n4f1Kwp7i0Q	md5
aroC	BrR3eH7UWWEphlp3vF7hBw	md5
aroC	017Is3dUtHQpnT3TJUD0rw	md5
aroC	QGr9LPt+DJPgjH2sfMeo/A	md5
aroC	5u1VtD5gKfWIR67uIoFsDQ	md5
aroC	hV1k4XGOrJ9DOY9ed5//Kg	md5
aroC	AvHMqR5yyLhnxA5AVa92/g	md5
aroC	FIwLyPsW/PRWyvYvVNqvug	md5
aroC	oz/IydV3ktAv5ksDrKT+5A	md5
aroC	DJr7LY+M2/rHE6kL0xFZXA	md5
aroC	u03eEjyQDVnUV5KPY/ZcTw	md5
aroC	p3f/LMtkP4p2t/5QgTwKgg	md5
aroC	k9sSqlBKphBgMx+0ZQkFzw	md5
aroC	m5x0QPkRxR7l8EU7mbijRA	md5
aroC	ozNJS14lzmCQ/X1yQ3PXKg	md5
aroC	V77BTnZrCHg3BKHzWEjTrg	md5
aroC	/M4BwxfcrIDdGXnaL5XaQg	md5
aroC	Lb/qN8QaY671Ls3zuU3xbg	md5
aroC	VOEKqSqezwCLuqJNUb4F5A	md5
aroC	SJddLJpwEUZn+zBhuw6mmA	md5
aroC	f89fHtmoJ5rp/kJo7FpS3Q	md5
aroC	Z8OX+AvoN3dXXDZstdElPQ	md5
aroC	Q3lLQ/1o2yxxsU4XorvqMg	md5
aroC	26awto2fNwbY/+60OKX18w	md5
aroC	xyWClnkfWNjLrID0p+Zbgw	md5
aroC	weL9Iv05pgoh/nWy7nXkLw	md5
aroC	0TXYlhdSiCxgP5eY4WG2/w	md5
aroC	0lVjkqQcFtCiAQt6X+1RrQ	md5
aroC	g3H58nkAcULd0uUMZltQAg	md5
aroC	W0xjjYXUKzU6rxW3nKTH7A	md5
aroC	hUP1kBYmKQPHzrx7xhxOlg	md5
aroC	CL1hDnub7ULZMdMaKaiZDQ	md5
aroC	xOJn3Ttwgfo6BEzWTLj+Bw	md5
aroC	W7x3nbj3HtSA0tQDoCuxIw	md5
aroC	pRKVGnBB73tYC8EiHJiu2g	md5
aroC	Rr3V0yQpRAwcDP0D8CMe8w	md5
aroC	I1twaV3/DJCs15tSjdvtSg	md5
aroC	vM4uIs2y1CLsa0DG8JxwRA	md5
aroC	nJdeqeTJo0taXxAOqe2I3A	md5
aroC	IGsjKOWO0TRjlCSqFsxvFQ	md5
aroC	nDqs4+SIxFETFdsOpPbt+g	md5
aroC	/fjbQEnsc2jgKejF41aa7Q	md5
aroC	eqMjEF743iTmQx9rjNPbMA	md5
aroC	7UOQhrdEZimo4I8Liuv8lg	md5
aroC	xO+ZSr7tZkDJjev/fOTMgA	md5
aroC	mZicctpEU5zpTYssbka5NA	md5
aroC	S3RCboKIEG72DWtrHGLH4A	md5
aroC	qsy/zjqNr6GnkFDAyLDFWA	md5
aroC	iLq+/1e4Wu22trYqa9cGzw	md5
aroC	VYAim/cAKEK9ubmr0lZWKA	md5
aroC	9Twr/Ejs9b7SWApYKQz5cg	md5
aroC	Bbbai2d6WddQrPb6PFWvqw	md5
aroC	xM7W5NxyALgNiij05YeR8A	md5
aroC	ZLXNRugsNatGm+/8sSaE8w	md5
aroC	IM/egPt7XuSjynRAEZQYYQ	md5
aroC	i8p6juuZrdWQIIlzkvmYfg	md5
aroC	dDEJJc8WPXVfcpP08HEmRg	md5
aroC	wlVjqLWfWC0b4sm0iX0koA	md5
aroC	0hfg5xUIl/JOpObB1YW3dw	md5
aroC	1K/MnKZB6IajXW0/23lwWg	md5
aroC	SqhFfpp+pxCiUWjGSeudrw	md5
aroC	Mb9z8NrUm/MQGBCT5GwZLQ	md5
aroC	9WeJj4tMVwxBk2Pp66nfBA	md5
aroC	b+CVxCp4JGyKyqJe81eHUw	md5
aroC	6KXr9k0okrK5z3Pf/sAFHQ	md5
aroC	LmVXH7xhHrojtczHP1f+/w	md5
aroC	J+EEDNMl0cuAIXsTnDjjxA	md5
aroC	e4ZEDmmgpXIGWwBgxBKEsw	md5
aroC	X51f8zSJxzyfXJqcNJSdVA	md5
aroC	mgwP3Q7wArrWJk3FC6UDlA	md5
aroC	GaJTnjyNUH4Loz081ZMxeA	md5
aroC	zvAS3+RFhtqQbWWflPk3iw	md5
aroC	9eBbFAdtwISIe87QtaZpQQ	md5
aroC	O6fCvHmb4fCjhY4ebieRwA	md5
aroC	eXy8olzv74mO9G4sPoqz6g	md5
aroC	CYOa1rjU+EglOF75yadErQ	md5
aroC	VaKYC+OwOyAAGauI2HQDLw	md5
aroC	sHxtSult/MZRXlynbmXVlg	md5
aroC	FNwc8Ol4xv7Srfa/Q0yY4g	md5
aroC	aexatAYgocTCAZzB0tXoUA	md5
aroC	uXnyv3P0Myw3rBg++d8YrA	md5
aroC	dAktNdQdWb1E2RIpsG71+A	md5
aroC	OO6am84QBhG6JkqiD85KVQ	md5
aroC	qrLmgjjUc/+Wbo9E8W4zIg	md5
aroC	nrAVlwz5aNJfTaiaCCp+Sg	md5
aroC	O+QcTatoNRykUybnST4dfw	md5
aroC	RP1fCv/WBI7csfd2XYh5LA	md5
aroC	m09ws+aPnmx6wGSEnES/mg	md5
aroC	8moSQzP1uumcKQEaJMcuKw	md5
aroC	BmAukHXnOuuvp9+lQmAz4A	md5
aroC	PR2f4huNAXVFMvwbMG7cHA	md5
aroC	s3Qi8WuE8bippUYCHls1Yg	md5
aroC	pNbWcZOq9Wu3QKEbv+s2TA	md5
aroC	USuoEU/tx9qEWaf/41Wy9w	md5
aroC	98Jx2xnpRJ1ELLoByTN3WA	md5
aroC	Jz8rcgVoZMUUq5pY4KW9dg	md5
aroC	Lpo/wIAzY1+8efvRMKFO7w	md5
aroC	nzAD+2J1v0sf6aFpAoY52Q	md5
aroC	L62w7neJgsk4EsJ1TYXNNA	md5
aroC	kGBqO0XstJHD2fuIQirVNw	md5
aroC	iX2zCFqs8oUyeT0dIBwfEg	md5
aroC	8/ENWv9j7ZiYok/T18QSIg	md5
aroC	Irqd62ThzXr/JeYzFCcHKQ	md5
aroC	7R8KzN43Enbu2X7W0zwwzg	md5
aroC	FoUOZOoVPxuVqY7lYVIbvA	md5
aroC	T+pkFk0Eru+GIzvOt7Ixhw	md5
aroC	y9jIB2BTZdMxeFFg3tSinw	md5
aroC	UitXyLfL1IoOk82XBRcF0Q	md5
aroC	G5bVVRu5n2VNLn0euqhEhQ	md5
aroC	pVGxrkM47SpSqC4YPoUzeg	md5
aroC	u+l9f8QrmL0ROqOsC57mvQ	md5
